"Currency:","USD","USD","USD","USD","BRL","CAD","CNY","DKK","HKD","INR","JPY","KRW","MYR","MXN","NOK","SEK","ZAR","SGD","LKR","CHF","TWD","THB","VEB"
"Unique Identifier: ","H10/H10/RXI$US_N.M.AL","H10/H10/RXI$US_N.M.EU","H10/H10/RXI$US_N.M.NZ","H10/H10/RXI$US_N.M.UK","H10/H10/RXI_N.M.BZ","H10/H10/RXI_N.M.CA","H10/H10/RXI_N.M.CH","H10/H10/RXI_N.M.DN","H10/H10/RXI_N.M.HK","H10/H10/RXI_N.M.IN","H10/H10/RXI_N.M.JA","H10/H10/RXI_N.M.KO","H10/H10/RXI_N.M.MA","H10/H10/RXI_N.M.MX","H10/H10/RXI_N.M.NO","H10/H10/RXI_N.M.SD","H10/H10/RXI_N.M.SF","H10/H10/RXI_N.M.SI","H10/H10/RXI_N.M.SL","H10/H10/RXI_N.M.SZ","H10/H10/RXI_N.M.TA","H10/H10/RXI_N.M.TH","H10/H10/RXI_N.M.VE"
"Time Period","RXI$US_N.M.AL","RXI$US_N.M.EU","RXI$US_N.M.NZ","RXI$US_N.M.UK","RXI_N.M.BZ","RXI_N.M.CA","RXI_N.M.CH","RXI_N.M.DN","RXI_N.M.HK","RXI_N.M.IN","RXI_N.M.JA","RXI_N.M.KO","RXI_N.M.MA","RXI_N.M.MX","RXI_N.M.NO","RXI_N.M.SD","RXI_N.M.SF","RXI_N.M.SI","RXI_N.M.SL","RXI_N.M.SZ","RXI_N.M.TA","RXI_N.M.TH","RXI_N.M.VE"
2000-11,0.5218,0.8552,0.3990,1.4258,1.9483,1.5426,8.2774,8.6992,7.7991,46.8214,109.0095,1156.5429,3.8000,9.5081,9.3524,10.0965,7.6889,1.7478,80.3805,1.7779,32.4333,43.7914,0.6958
2000-12,0.5466,0.8983,0.4297,1.4629,1.9632,1.5219,8.2771,8.3059,7.7991,46.7845,112.2090,1216.9350,3.8000,9.4673,9.0616,9.6604,7.6439,1.7361,82.0300,1.6855,33.1230,43.2460,0.6988
2001-01,0.5552,0.9376,0.4442,1.4775,1.9561,1.5032,8.2776,7.9629,7.7998,46.6138,116.6719,1272.6343,3.8000,9.7688,8.7817,9.4910,7.7786,1.7380,85.8333,1.6305,32.6731,43.1486,0.7000
2001-02,0.5338,0.9205,0.4345,1.4525,2.0060,1.5216,8.2771,8.1103,7.7999,46.5616,116.2337,1252.8526,3.8000,9.7108,8.9180,9.7518,7.8214,1.7435,87.1358,1.6686,32.3300,42.6653,0.7034
2001-03,0.5031,0.9083,0.4182,1.4445,2.0955,1.5587,8.2775,8.2229,7.7999,46.6532,121.5050,1291.4050,3.8000,9.5990,8.9859,10.0516,7.8980,1.7732,85.7295,1.6908,32.6216,43.9878,0.7061
2001-04,0.5016,0.8925,0.4069,1.4348,2.1934,1.5578,8.2771,8.3657,7.7993,46.7886,123.7710,1327.7571,3.8000,9.3276,9.0920,10.2035,8.0783,1.8118,88.2052,1.7131,32.9405,45.4938,0.7104
2001-05,0.5199,0.8753,0.4218,1.4265,2.2926,1.5411,8.2770,8.5256,7.7999,46.9473,121.7682,1298.8955,3.8000,9.1475,9.1380,10.3513,7.9789,1.8141,90.8477,1.7528,33.2032,45.5245,0.7149
2001-06,0.5180,0.8530,0.4141,1.4020,2.3788,1.5245,8.2770,8.7397,7.7997,47.0424,122.3510,1295.0476,3.8000,9.0881,9.3014,10.7930,8.0595,1.8170,90.3714,1.7856,34.3280,45.2633,0.7173
2001-07,0.5089,0.8615,0.4081,1.4148,2.4731,1.5308,8.2769,8.6442,7.7999,47.1781,124.4981,1305.2381,3.8000,9.1682,9.2566,10.7603,8.2094,1.8233,90.3143,1.7570,34.8214,45.6414,0.7227
2001-08,0.5246,0.9014,0.4314,1.4372,2.5122,1.5399,8.2770,8.2632,7.7997,47.1665,121.3670,1285.6522,3.8000,9.1332,8.9427,10.3329,8.3115,1.7613,89.9935,1.6808,34.6391,44.9074,0.7320
